algo,n,trial,time_ms,depth,comparisons,writes,allocations
MergeSort,1000,0,2.087,6,13436,18606,0
QuickSort,1000,0,0.325,1,11283,13688,0
Select,1000,0,0.694,0,7053,8557,0
ClosestPair,1000,0,13.284,10,0,0,0
MergeSort,1000,1,1.812,6,13416,18589,0
QuickSort,1000,1,0.309,1,10901,10784,0
Select,1000,1,0.931,0,7203,8770,0
ClosestPair,1000,1,5.357,10,0,0,0
MergeSort,1000,2,1.045,6,13456,18605,0
QuickSort,1000,2,0.292,1,11184,12156,0
Select,1000,2,0.584,0,7259,8847,0
ClosestPair,1000,2,4.107,10,0,0,0
MergeSort,2000,0,0.644,7,28606,40922,0
QuickSort,2000,0,0.517,1,22799,24060,0
Select,2000,0,1.224,0,15302,18381,0
ClosestPair,2000,0,11.083,11,0,0,0
MergeSort,2000,1,0.742,7,28401,40693,0
QuickSort,2000,1,0.737,1,25732,26290,0
Select,2000,1,0.859,0,14724,17702,0
ClosestPair,2000,1,10.978,11,0,0,0
MergeSort,2000,2,0.664,7,29075,41398,0
QuickSort,2000,2,0.649,1,24562,25892,0
Select,2000,2,1.974,0,14510,17333,0
ClosestPair,2000,2,8.559,11,0,0,0
MergeSort,5000,0,1.962,9,66885,108015,0
QuickSort,5000,0,3.918,1,70334,73124,0
Select,5000,0,0.599,0,38391,45640,0
ClosestPair,5000,0,19.750,12,0,0,0
MergeSort,5000,1,74.292,9,66644,107769,0
QuickSort,5000,1,0.880,1,72767,73632,0
Select,5000,1,1.256,0,38851,46280,0
ClosestPair,5000,1,19.165,12,0,0,0
MergeSort,5000,2,10.923,9,67042,108244,0
QuickSort,5000,2,0.586,1,75388,80726,0
Select,5000,2,0.551,0,38388,45899,0
ClosestPair,5000,2,20.050,12,0,0,0
